id,web_name,full_name,team,team_short,pos,price,selected_by_percent,status,chance_next,news,total_points,form,points_per_game,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps,defensive_contribution,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,ep_this,ep_next,cost_change_event,cost_change_start,transfers_in_event,transfers_out_event,penalties_order,corners_order,freekicks_order
150,M.Sarr,Mamadou Sarr,Chelsea,CHE,DEF,4.5,0.0,u,0,Has joined Real Sociedad on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,354,,,
36,Maatsen,Ian Maatsen,Aston Villa,AVL,DEF,4.5,0.6,d,25,Ankle injury - 25% chance of playing,9,2.2,2.2,335,4,0,0,1,7,1,0,0,1,22,24,0.28,0.45,0.73,6.54,34.8,24.5,43.0,10.2,2.2,0.6,0,0,524,21019,,,
649,Maitland-Niles,Ainsley Maitland-Niles,Everton,EVE,DEF,4.5,0.8,a,,,13,6.5,6.5,87,1,1,0,1,1,0,0,0,0,36,5,0.06,0.14,0.20,0.72,43.4,12.8,8.0,6.4,6.5,6.5,0,0,36283,4563,,,
291,Matazo,Eliot Matazo,Hull City,HUL,MID,4.5,0.0,i,0,Knee injury - Unknown return date,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,53,59,,,
349,Mateo Joseph,Mateo Joseph Fernández-Regatillo,Leeds,LEE,FWD,4.5,0.1,i,0,Knee injury - Unknown return date,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,538,581,,,
621,McAidoo,Ryan McAidoo,Man City,MCI,MID,4.5,0.1,a,,,2,0.7,1.0,11,0,0,0,0,0,0,0,0,0,8,4,0.10,0.00,0.10,0.02,5.2,0.5,3.0,0.8,0.7,0.7,0,0,785,1622,,,
323,McAteer,Kasey McAteer,Ipswich Town,IPS,MID,4.5,1.1,a,,,3,0.8,1.0,42,0,0,0,0,0,0,0,0,0,12,5,0.05,0.00,0.05,0.21,4.6,1.8,7.0,1.4,0.8,0.8,0,0,1867,10092,,,
612,Methalie,Dayann Méthalie,Sunderland,SUN,DEF,4.5,0.0,a,100,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,112,78,,,
541,Meunier,Thomas Meunier,Sunderland,SUN,DEF,4.5,0.3,a,100,,11,2.8,2.8,318,4,0,0,1,4,0,0,0,0,37,16,0.34,0.13,0.47,4.60,47.4,28.6,41.0,11.8,2.8,2.8,0,0,755,1519,,,
169,Mheuka,Shumaira Mheuka,Chelsea,CHE,FWD,4.5,0.5,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6658,4553,,,
659,Miley,Mason Miley,Newcastle,NEW,MID,4.5,0.0,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,1.1,1.1,0,0,2217,383,,,
33,Mings,Tyrone Mings,Aston Villa,AVL,DEF,4.5,0.4,a,,,7,1.8,2.3,171,1,0,0,1,2,1,0,0,0,33,11,0.20,0.02,0.22,2.87,32.4,5.0,17.0,5.4,1.8,1.8,0,0,2436,3818,,,
204,Mitchell,Tyrick Mitchell,Crystal Palace,CRY,DEF,4.5,6.2,a,,,17,4.2,4.2,329,4,2,0,0,10,0,0,0,2,38,17,0.77,0.24,1.01,7.03,109.0,64.2,56.0,22.9,4.2,4.2,0,0,17241,50232,,,
409,Mukasa,Divine Mukasa,Man City,MCI,MID,4.5,0.1,u,0,has joined West Ham on loan for the rest of the seaon.,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1302,,,
233,Mykolenko,Vitalii Mykolenko,Everton,EVE,DEF,4.5,3.4,a,,,22,5.5,5.5,360,4,0,0,2,3,0,0,0,3,80,33,0.00,0.14,0.14,5.50,86.8,28.6,6.0,12.2,5.5,5.5,0,0,147082,16356,,,
466,Neave,Sean Neave,Newcastle,NEW,FWD,4.5,0.6,u,0,Has joined Wolves on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7083,,,
657,Nunes,Gustavo Nunes Fernandes Gomes,Brentford,BRE,MID,4.5,0.0,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,1.1,1.1,0,0,1556,346,,,
441,Obi,Chido Obi,Man Utd,MUN,FWD,4.5,1.1,u,0,Has joined Willem II on loan for the rest of the season,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5061,16564,,,
134,Oriola,Nehemiah Oriola,Brighton,BHA,MID,4.5,0.2,a,,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,787,2286,,,
234,Patterson,Nathan Patterson,Everton,EVE,DEF,4.5,0.0,u,0,Has joined Torino permanently,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,250,,,
34,Pau,Pau Torres,Aston Villa,AVL,DEF,4.5,0.3,d,75,Hamstring injury - 75% chance of playing,3,0.8,1.0,187,3,0,0,0,5,0,0,0,0,-4,9,0.00,0.01,0.01,4.79,11.2,1.9,2.0,1.5,0.8,0.6,0,0,220,6402,,,
