stamp_utc,id,web_name,team_short,pos,old_price,new_price,delta,selected_by_percent
2026-08-30_0116Z,155,Enzo,CHE,MID,7.0,6.9,-0.1,4.2
2026-08-30_0116Z,53,Manzambi,AVL,MID,6.0,5.9,-0.1,0.2
2026-08-30_0116Z,336,Okafor,LEE,MID,6.0,5.9,-0.1,0.4
2026-08-30_0116Z,461,Touré,NEW,MID,6.0,5.9,-0.1,0.2
2026-08-30_0116Z,490,Wood,NFO,FWD,6.0,5.9,-0.1,1.5
2026-08-30_0116Z,391,Gvardiol,MCI,DEF,5.5,5.6,0.1,15.3
2026-08-30_0116Z,159,Caicedo,CHE,MID,5.5,5.4,-0.1,2.7
2026-08-30_0116Z,22,Nwaneri,ARS,MID,5.5,5.4,-0.1,0.0
2026-08-30_0116Z,152,Palestra,CHE,DEF,5.5,5.4,-0.1,2.0
2026-08-30_0116Z,448,Burn,NEW,DEF,5.0,4.9,-0.1,1.5
2026-08-31_0015Z,78,Kroupi.Jr,BOU,MID,7.5,7.4,-0.1,0.3
2026-08-31_0015Z,157,Estêvão,CHE,MID,6.5,6.4,-0.1,1.0
2026-08-31_0015Z,454,Elanga,NEW,MID,6.0,6.1,0.1,5.0
2026-08-31_0015Z,464,Wissa,NEW,FWD,6.0,6.1,0.1,6.7
2026-08-31_0015Z,542,E.Le Fée,SUN,MID,6.0,5.9,-0.1,7.7
2026-08-31_0015Z,525,Fernandes,TOT,MID,6.0,5.9,-0.1,1.5
2026-08-31_0015Z,160,Garnacho,AVL,MID,6.0,5.9,-0.1,0.5
2026-08-31_0015Z,158,Gittens,CHE,MID,6.0,5.9,-0.1,0.0
2026-08-31_0015Z,527,Richarlison,TOT,FWD,6.0,5.9,-0.1,2.4
2026-08-31_0015Z,514,Tel,TOT,MID,6.0,5.9,-0.1,0.4
2026-08-31_0015Z,136,Welbeck,CHE,FWD,6.0,5.9,-0.1,0.9
2026-08-31_0015Z,248,Beto,EVE,FWD,5.5,5.4,-0.1,2.1
2026-08-31_0015Z,370,Chiesa,LIV,MID,5.5,5.4,-0.1,0.1
2026-08-31_0015Z,245,Dibling,EVE,MID,5.5,5.4,-0.1,0.0
2026-08-31_0015Z,519,Gallagher,TOT,MID,5.5,5.4,-0.1,0.3
2026-08-31_0015Z,201,Muñoz,CRY,DEF,5.5,5.4,-0.1,7.5
2026-08-31_0015Z,164,Quenda,CHE,MID,5.5,5.4,-0.1,0.0
2026-08-31_0015Z,193,Wright,COV,FWD,5.5,5.4,-0.1,0.1
2026-08-31_0015Z,77,Adli,BOU,MID,5.0,4.9,-0.1,0.0
2026-08-31_0015Z,187,Eccles,COV,MID,5.0,4.9,-0.1,0.0
2026-08-31_0015Z,231,Keane,EVE,DEF,5.0,4.9,-0.1,1.3
2026-08-31_0015Z,232,O'Brien,EVE,DEF,5.0,4.9,-0.1,0.4
2026-08-31_0015Z,31,Konsa,ARS,DEF,4.5,4.4,-0.1,10.4
2026-09-01_0725Z,55,Watkins,AVL,FWD,7.9,7.8,-0.1,6.1
2026-09-01_0725Z,399,Cherki,MCI,MID,7.6,7.7,0.1,21.8
2026-09-01_0725Z,223,Mateta,CRY,FWD,6.5,6.4,-0.1,3.5
2026-09-01_0725Z,27,G.Jesus,ARS,FWD,6.0,5.9,-0.1,0.3
2026-09-01_0725Z,457,J.Murphy,NEW,MID,6.0,5.9,-0.1,0.1
2026-09-01_0725Z,209,Johnson,EVE,MID,6.0,5.9,-0.1,0.1
2026-09-01_0725Z,369,Ngumoha,LIV,MID,6.0,5.9,-0.1,0.9
2026-09-01_0725Z,526,Solanke,TOT,FWD,6.0,5.9,-0.1,1.2
2026-09-01_0725Z,463,Woltemade,NEW,FWD,6.0,5.9,-0.1,1.4
2026-09-01_0725Z,383,Elliott,LIV,MID,5.5,5.4,-0.1,0.1
2026-09-01_0725Z,484,Hutchinson,NFO,MID,5.5,5.4,-0.1,0.1
2026-09-01_0725Z,458,Joelinton,NEW,MID,5.5,5.4,-0.1,0.0
2026-09-01_0725Z,578,Mudryk,CHE,MID,5.5,5.4,-0.1,0.0
2026-09-01_0725Z,549,Talbi,SUN,MID,5.5,5.4,-0.1,0.2
2026-09-01_0725Z,455,Tonali,TOT,MID,5.5,5.4,-0.1,3.2
2026-09-01_0725Z,218,Doucouré,CRY,MID,5.0,4.9,-0.1,0.1
2026-09-01_0725Z,410,Monga,MCI,MID,5.0,4.9,-0.1,0.0
2026-09-01_0725Z,140,Sánchez,CHE,GKP,5.0,4.9,-0.1,1.8
2026-09-01_0725Z,345,Tanaka,LEE,MID,5.0,4.9,-0.1,0.2
2026-09-01_0725Z,85,Van den Berg,BRE,DEF,5.0,4.9,-0.1,0.1
2026-09-01_0725Z,420,Yoro,MUN,DEF,5.0,4.9,-0.1,0.6
2026-09-01_0725Z,115,De Cuyper,BHA,DEF,4.6,4.7,0.1,13.1
2026-09-01_0725Z,279,Ajayi,HUL,DEF,4.0,4.1,0.1,6.3
2026-09-01_2351Z,165,João Pedro,CHE,FWD,7.6,7.7,0.1,69.9
2026-09-01_2351Z,25,Gyökeres,ARS,FWD,7.4,7.3,-0.1,5.4
2026-09-01_2351Z,260,Wilson,LEE,MID,6.5,6.4,-0.1,4.6
2026-09-01_2351Z,18,Martinelli,ARS,MID,6.4,6.3,-0.1,0.2
2026-09-01_2351Z,208,Sarr,CRY,MID,6.4,6.3,-0.1,1.5
2026-09-01_2351Z,552,Brobbey,SUN,FWD,6.0,5.9,-0.1,10.4
2026-09-01_2351Z,491,Igor Jesus,NFO,FWD,6.0,5.9,-0.1,3.2
2026-09-01_2351Z,498,Senesi,TOT,DEF,6.0,5.9,-0.1,6.2
2026-09-01_2351Z,565,M.Sangaré,BRE,MID,5.6,5.7,0.1,12.5
2026-09-01_2351Z,579,Araujo,LIV,DEF,5.5,5.4,-0.1,2.3
2026-09-01_2351Z,318,Philogene,IPS,MID,5.5,5.4,-0.1,0.1
2026-09-01_2351Z,449,Hall,NEW,DEF,5.0,5.1,0.1,7.9
2026-09-01_2351Z,407,Echeverri,MCI,MID,5.0,4.9,-0.1,0.0
2026-09-01_2351Z,213,Lerma,CRY,MID,5.0,4.9,-0.1,0.1
2026-09-01_2351Z,450,Livramento,NEW,DEF,5.0,4.9,-0.1,0.0
2026-09-01_2351Z,324,Mehmeti,IPS,MID,5.0,4.9,-0.1,0.0
2026-09-01_2351Z,21,Nørgaard,EVE,MID,5.0,4.9,-0.1,0.1
2026-09-01_2351Z,314,Ogbene,IPS,MID,5.0,4.9,-0.1,0.0
2026-09-01_2351Z,185,Sakamoto,COV,MID,5.0,4.9,-0.1,0.1
2026-09-01_2351Z,207,Mingueza,CRY,DEF,4.5,4.4,-0.1,0.1
2026-09-02_2353Z,452,Bruno G.,ARS,MID,6.9,6.8,-0.1,2.2
2026-09-02_2353Z,465,Osula,NEW,FWD,6.0,5.9,-0.1,0.6
2026-09-02_2353Z,43,Tielemans,MUN,MID,6.0,5.9,-0.1,2.1
2026-09-02_2353Z,431,Amad,MUN,MID,5.9,5.8,-0.1,0.6
2026-09-02_2353Z,44,Bailey,AVL,MID,5.5,5.4,-0.1,0.1
2026-09-02_2353Z,263,Kevin,FUL,MID,5.5,5.4,-0.1,0.0
2026-09-02_2353Z,162,Andrey Santos,MUN,MID,5.0,4.9,-0.1,0.8
2026-09-02_2353Z,203,Canvot,CRY,DEF,5.0,4.9,-0.1,0.3
2026-09-02_2353Z,488,I.Sangaré,NFO,MID,5.0,4.9,-0.1,0.6
2026-09-02_2353Z,351,Mamardashvili,LIV,GKP,5.0,4.9,-0.1,0.1
2026-09-02_2353Z,112,Van Hecke,TOT,DEF,5.0,4.9,-0.1,7.8
2026-09-02_2353Z,572,Tzolakis,HUL,GKP,4.5,4.6,0.1,7.0
2026-09-03_2350Z,367,Gakpo,LIV,MID,7.0,7.1,0.1,8.4
2026-09-03_2350Z,16,Madueke,ARS,MID,6.4,6.3,-0.1,0.3
2026-09-03_2350Z,389,Matheus N.,MCI,DEF,6.0,5.9,-0.1,1.0
2026-09-03_2350Z,8,Calafiori,ARS,DEF,5.6,5.7,0.1,44.1
2026-09-03_2350Z,129,Ayari,BHA,MID,5.5,5.4,-0.1,0.5
2026-09-03_2350Z,520,Bergvall,TOT,MID,5.5,5.4,-0.1,0.2
2026-09-03_2350Z,581,Diomande,NFO,DEF,5.5,5.4,-0.1,0.6
2026-09-03_2350Z,493,Kalimuendo,NFO,FWD,5.5,5.4,-0.1,0.0
2026-09-03_2350Z,186,Mason-Clark,COV,MID,5.5,5.4,-0.1,0.1
2026-09-03_2350Z,45,McGinn,AVL,MID,5.5,5.4,-0.1,2.5
2026-09-03_2350Z,430,Mount,MUN,MID,5.5,5.4,-0.1,0.0
2026-09-03_2350Z,188,Torp,COV,MID,5.5,5.4,-0.1,0.1
2026-09-03_2350Z,571,Florentino,IPS,MID,5.0,4.9,-0.1,0.1
2026-09-03_2350Z,102,Yarmoliuk,BRE,MID,5.0,4.9,-0.1,0.9
2026-09-03_2350Z,292,Ömür,HUL,MID,5.0,4.9,-0.1,0.0
2026-09-04_2347Z,428,Cunha,MUN,MID,8.0,7.9,-0.1,7.8
2026-09-04_2347Z,427,Mbeumo,MUN,MID,8.0,7.9,-0.1,26.9
2026-09-04_2347Z,399,Cherki,MCI,MID,7.7,7.8,0.1,30.5
2026-09-04_2347Z,366,Wirtz,LIV,MID,7.5,7.4,-0.1,9.6
2026-09-04_2347Z,95,O.Dango,BRE,MID,6.5,6.4,-0.1,0.8
2026-09-04_2347Z,121,Mitoma,BHA,MID,6.0,5.9,-0.1,0.0
2026-09-04_2347Z,237,Ndiaye,MCI,MID,6.0,5.9,-0.1,11.6
2026-09-04_2347Z,337,Aaronson,LEE,MID,5.5,5.4,-0.1,0.7
2026-09-04_2347Z,543,Diarra,SUN,MID,5.5,5.4,-0.1,0.0
2026-09-04_2347Z,406,Kovačić,MCI,MID,5.5,5.4,-0.1,0.1
